p,p_index,dataset_index,initialization,A,B,C,alpha,beta,g12,g13,g23,D,empirical_loss,empirical_optimum,optimization_error,gradient_norm,is_best
0.0,0,5,2,0.0,1.017231693802246,0.9604671443822622,1.5707963267956497,1.5707963267453195,1.0,5.671807987654273e-25,2.4578859091467464e-21,1.0,2.361295614660196e-21,0.0,2.361295614660196e-21,9.523429446204448e-11,0
0.0,0,5,3,0.0,1.017231693802246,0.9604671443822622,1.5707963268423575,1.5707963267918843,1.0,2.252533502215998e-21,9.074061798085773e-24,1.0,2.300063808028641e-21,0.0,2.300063808028641e-21,9.655738780707396e-11,1
0.0,0,5,4,0.0,1.017231693802246,0.9604671443822622,1.5707963267467941,1.5707963267955447,1.0,2.313847829411029e-21,4.200167199530097e-25,1.0,2.3541227589720375e-21,0.0,2.3541227589720375e-21,9.786271849466277e-11,0
0.0,0,5,5,0.0,1.017231693802246,0.9604671443822622,1.5707963267942149,1.570796326846429,1.0,4.647669316984037e-25,2.6555751320250887e-21,1.0,2.5510654394018407e-21,0.0,2.5510654394018407e-21,9.899010965208691e-11,0
0.0,0,5,6,0.0,1.017231693802246,0.9604671443822622,1.570796326748601,1.5707963268398337,1.0,2.1432913964025886e-21,2.0193433040239134e-21,1.0,4.119736834217677e-21,0.0,4.119736834217677e-21,9.418689693976062e-11,0
0.0,0,5,7,0.0,1.017231693802246,0.9604671443822622,1.570796326746889,1.5707963267556126,1.0,2.304735335081418e-21,1.5432303532569704e-21,1.0,3.82667187918751e-21,0.0,3.82667187918751e-21,9.76698248232921e-11,0
0.0,0,6,0,0.0,1.0031539032142542,1.019063129891333,1.5707963268272418,1.570796326748383,1.0,1.0462104342181155e-21,2.1635076342197638e-21,1.0,3.2542609419411682e-21,0.0,3.2542609419411682e-21,9.480042855004904e-11,0
0.0,0,6,1,0.0,1.0031539032142542,1.019063129891333,1.5707963268421223,1.570796326781319,1.0,2.2302684038498538e-21,1.8435243653074968e-22,1.0,2.4251692255115246e-21,0.0,2.4251692255115246e-21,9.474932590662648e-11,0
0.0,0,6,2,0.0,1.0031539032142542,1.019063129891333,1.5707963267471985,1.5707963267948242,1.0,2.2751115053404355e-21,5.248679891702596e-27,1.0,2.282292335566074e-21,0.0,2.282292335566074e-21,9.569712846462069e-11,0
0.0,0,6,3,0.0,1.0031539032142542,1.019063129891333,1.570796326841649,1.5707963267942648,1.0,2.1857792863452177e-21,3.9914360978132234e-25,1.0,2.193079775198332e-21,0.0,2.193079775198332e-21,9.379954160135443e-11,1
0.0,0,6,4,0.0,1.0031539032142542,1.019063129891333,1.570796326840224,1.5707963267807314,1.0,2.0545784744189673e-21,2.0065217595095404e-22,1.0,2.2655356505174608e-21,0.0,2.2655356505174608e-21,9.09408333992293e-11,0
0.0,0,6,5,0.0,1.0031539032142542,1.019063129891333,1.5707963267487552,1.5707963268189058,1.0,2.129026415368847e-21,5.764406190638817e-22,1.0,2.7231705400832483e-21,0.0,2.7231705400832483e-21,9.257379930689913e-11,0
0.0,0,6,6,0.0,1.0031539032142542,1.019063129891333,1.570796326844306,1.5707963267888294,1.0,2.441279347020279e-21,3.681101312532909e-23,1.0,2.4864916520497074e-21,0.0,2.4864916520497074e-21,9.913027283816748e-11,0
0.0,0,6,7,0.0,1.0031539032142542,1.019063129891333,1.5707963268418426,1.5707963267981184,1.0,2.2039214147340435e-21,1.0380033805769531e-23,1.0,2.221450279306422e-21,0.0,2.221450279306422e-21,9.418800872808859e-11,0
0.0,0,7,0,0.0,0.9810319757156647,0.9968967744949737,1.570796326843384,1.5707963267573861,1.0,2.3510255398143527e-21,1.4070376426242137e-21,1.0,3.709102517807152e-21,0.0,3.709102517807152e-21,9.513533069676948e-11,0
0.0,0,7,1,0.0,0.9810319757156647,0.9968967744949737,1.5707963267584566,1.5707963268402059,1.0,1.3278753047506036e-21,2.0529281922568145e-21,1.0,3.349245626854141e-21,0.0,3.349245626854141e-21,9.033729160696439e-11,0
0.0,0,7,2,0.0,0.9810319757156647,0.9968967744949737,1.570796326805117,1.5707963267496863,1.0,1.0445718709050156e-22,2.0439749511058132e-21,1.0,2.140107876535002e-21,0.0,2.140107876535002e-21,9.014008662525736e-11,1
0.0,0,7,3,0.0,0.9810319757156647,0.9968967744949737,1.570796326845795,1.5707963267979808,1.0,2.5906405440686683e-21,9.511909238999118e-24,1.0,2.5509836029564375e-21,0.0,2.5509836029564375e-21,9.986578902951433e-11,0
0.0,0,7,4,0.0,0.9810319757156647,0.9968967744949737,1.5707963267476748,1.5707963267784215,1.0,2.2299024820560025e-21,2.714290776425442e-22,1.0,2.458192409630663e-21,0.0,2.458192409630663e-21,9.265227640518393e-11,0
