dimension,p,dataset_index,D_S_mc,D_E_mc,D_mc,D_gram,absolute_bridge_error,gap_mc,gap_gram
2,0.2,21,1.4394493639983923e-20,1.001753407474243,1.001753407474243,1.0,0.0017534074742429073,-0.5017534074742429,-0.5
2,0.2,22,1.3220825846631238e-20,0.9991274424990819,0.9991274424990819,1.0,0.0008725575009180808,-0.4991274424990819,-0.5
2,0.2,23,1.400809024355923e-20,1.001954044650523,1.001954044650523,1.0,0.001954044650523068,-0.5019540446505231,-0.5
2,0.2,24,1.411730255479399e-20,0.9919477247237476,0.9919477247237476,1.0,0.008052275276252407,-0.4919477247237476,-0.5
2,0.2,25,1.368644830222815e-20,0.9958743896710045,0.9958743896710045,1.0,0.004125610328995499,-0.4958743896710045,-0.5
2,0.2,26,1.6778851558802636e-20,0.9918040630413066,0.9918040630413066,1.0,0.008195936958693362,-0.49180406304130664,-0.5
2,0.2,27,1.406559993665457e-20,0.998876732908116,0.998876732908116,1.0,0.0011232670918840393,-0.49887673290811596,-0.5
2,0.2,28,1.4399939988251947e-20,1.0085443682561999,1.0085443682561999,1.0,0.008544368256199864,-0.5085443682561999,-0.5
2,0.2,29,1.357150775071e-20,0.9970806418815298,0.9970806418815298,1.0,0.0029193581184702166,-0.4970806418815298,-0.5
2,0.2,30,1.5746889013046672e-20,0.9920685903142398,0.9920685903142398,1.0,0.007931409685760227,-0.4920685903142398,-0.5
2,0.2,31,1.6221870351236565e-20,1.000446461645455,1.000446461645455,1.0,0.00044646164545492084,-0.5004464616454549,-0.5
2,0.2,32,1.5777401384563153e-20,1.0046276869557937,1.0046276869557937,1.0,0.004627686955793742,-0.5046276869557937,-0.5
2,0.2,33,1.584243944839809e-20,1.0120485295613968,1.0120485295613968,1.0,0.012048529561396792,-0.5120485295613968,-0.5
2,0.2,34,1.2485139192960261e-20,1.006273626791606,1.006273626791606,1.0,0.006273626791605924,-0.5062736267916059,-0.5
2,0.2,35,1.714997150143365e-20,0.9993051223306809,0.9993051223306809,1.0,0.0006948776693190828,-0.4993051223306809,-0.5
2,0.2,36,1.5741501484118476e-20,0.994136795899613,0.994136795899613,1.0,0.005863204100386987,-0.494136795899613,-0.5
2,0.2,37,1.270221000750326e-20,1.0055927826741404,1.0055927826741404,1.0,0.0055927826741404285,-0.5055927826741404,-0.5
2,0.2,38,1.916683535493209e-20,1.0088754786385898,1.0088754786385898,1.0,0.00887547863858984,-0.5088754786385898,-0.5
2,0.2,39,1.4112664294517238e-20,1.000682649654998,1.000682649654998,1.0,0.0006826496549980909,-0.5006826496549981,-0.5
2,0.2,40,2.0255739695544544e-20,0.9960365140490148,0.9960365140490148,1.0,0.003963485950985168,-0.49603651404901483,-0.5
2,0.2,41,1.2778072343340076e-20,0.9916065797935371,0.9916065797935371,1.0,0.008393420206462943,-0.49160657979353706,-0.5
2,0.2,42,1.503711000746756e-20,1.0038602388750542,1.0038602388750542,1.0,0.003860238875054156,-0.5038602388750542,-0.5
2,0.2,43,1.5353792974854632e-20,1.0045590867049459,1.0045590867049459,1.0,0.004559086704945869,-0.5045590867049459,-0.5
2,0.2,44,1.6350781236548224e-20,1.0039787748978521,1.0039787748978521,1.0,0.003978774897852144,-0.5039787748978521,-0.5
2,0.2,45,1.2733664985822069e-20,0.9872837400540115,0.9872837400540115,1.0,0.012716259945988462,-0.48728374005401154,-0.5
2,0.2,46,1.1276076722294899e-20,0.9963389973278656,0.9963389973278656,1.0,0.003661002672134428,-0.49633899732786557,-0.5
2,0.2,47,1.239360944351978e-20,0.9926664378401617,0.9926664378401617,1.0,0.007333562159838269,-0.49266643784016173,-0.5
2,0.2,48,1.0989770203733012e-20,0.9950813308803921,0.9950813308803921,1.0,0.004918669119607921,-0.4950813308803921,-0.5
2,0.2,49,1.4621138397016e-20,1.0018237564524566,1.0018237564524566,1.0,0.001823756452456582,-0.5018237564524566,-0.5
2,0.5,0,0.3115775464613978,0.5689777837782639,0.2574002373168661,0.26014566440863907,0.002745427091772945,0.24259976268313388,0.23985433559136093
2,0.5,1,0.4869549187113006,0.3991860327429483,-0.0877688859683523,-0.08803349946938699,0.00026461350103468284,0.5877688859683523,0.588033499469387
2,0.5,2,0.4368614204636957,0.44278034608501565,0.005918925621319959,0.004305515428320583,0.001613410192999376,0.49408107437868004,0.4956944845716794
2,0.5,3,0.48412860298370947,0.38955629495927474,-0.09457230802443473,-0.09196316592387738,0.002609142100557349,0.5945723080244347,0.5919631659238773
2,0.5,4,0.3858450009750354,0.48918291797965807,0.10333791700462269,0.10722156332209015,0.0038836463174674596,0.3966620829953773,0.39277843667790985
2,0.5,5,0.40452857580747126,0.46823136414468536,0.0637027883372141,0.06471592181401181,0.0010131334767977118,0.4362972116627859,0.4352840781859882
2,0.5,6,0.40536175600882024,0.4614882355410327,0.05612647953221245,0.05347505291703358,0.0026514266151788646,0.44387352046778755,0.4465249470829664
2,0.5,7,0.43183990186139265,0.44403318448532914,0.012193282623936486,0.006482894131706718,0.005710388492229768,0.4878067173760635,0.4935171058682933
2,0.5,8,0.5470333539251989,0.3313962917667872,-0.21563706215841172,-0.2223628172999879,0.006725755141576195,0.7156370621584117,0.7223628172999879
2,0.5,9,0.4949710832541513,0.3870478411748666,-0.10792324207928466,-0.10250841100844665,0.005414831070838011,0.6079232420792846,0.6025084110084467
2,0.5,10,0.4235291287659671,0.4494917597209914,0.025962630955024324,0.02365571791509219,0.0023069130399321347,0.4740373690449757,0.4763442820849078
2,0.5,11,0.4523116658732359,0.42531589531358055,-0.026995770559655352,-0.025374951962816028,0.001620818596839324,0.5269957705596553,0.525374951962816
2,0.5,12,0.48067765935751017,0.39649492341269166,-0.08418273594481851,-0.08475657025593053,0.0005738343111120203,0.5841827359448185,0.5847565702559305
2,0.5,13,0.4515606643448733,0.42352035670845484,-0.02804030763641846,-0.03370065603737332,0.005660348400954862,0.5280403076364184,0.5337006560373734
2,0.5,14,0.4940376630093094,0.3856823008273783,-0.10835536218193109,-0.10800541404453201,0.00034994813739908093,0.6083553621819311,0.608005414044532
2,0.5,15,0.4281337720438365,0.4494166952384745,0.02128292319463798,0.028994535349092576,0.007711612154454595,0.478717076805362,0.4710054646509074
2,0.5,16,0.4933077220746971,0.38631685649101377,-0.10699086558368331,-0.09796484099932007,0.009026024584363246,0.6069908655836833,0.5979648409993201
2,0.5,17,0.44944116454348904,0.42765414515339545,-0.021787019390093587,-0.02323596288543245,0.0014489434953388614,0.5217870193900935,0.5232359628854324
2,0.5,18,0.5300302028217101,0.352009818421802,-0.17802038439990808,-0.17887123286157297,0.0008508484616648881,0.6780203843999081,0.6788712328615729
2,0.5,19,0.4196300980011875,0.45262525123350117,0.03299515323231367,0.0349835462726647,0.001988393040351033,0.46700484676768633,0.4650164537273353
2,0.5,20,0.313714754139618,0.5657233501827881,0.25200859604317005,0.2530386555427796,0.001030059499609548,0.24799140395682995,0.2469613444572204
2,0.5,21,0.3990277605954019,0.4761783482615646,0.07715058766616267,0.07178589995508933,0.005364687711073346,0.4228494123338373,0.4282141000449107
2,0.5,22,0.4289447405614515,0.4523382852498421,0.02339354468839061,0.021478018384239128,0.0019155263041514825,0.4766064553116094,0.47852198161576087
2,0.5,23,0.5300966183988092,0.3500863958327422,-0.18001022256606697,-0.17615719073507574,0.003853031830991227,0.6800102225660669,0.6761571907350757
2,0.5,24,0.38740781735207985,0.48981218023363715,0.1024043628815573,0.09877528823386195,0.0036290746476953517,0.3975956371184427,0.40122471176613805
2,0.5,25,0.44924308159812115,0.41893414327441486,-0.03030893832370629,-0.030963315096784794,0.0006543767730785022,0.5303089383237063,0.5309633150967847
2,0.5,26,0.4152533791955374,0.45964191435508317,0.04438853515954577,0.038222743941334625,0.006165791218211147,0.45561146484045423,0.4617772560586654
2,0.5,27,0.4107702738859307,0.4645860482780222,0.05381577439209151,0.05019873933663005,0.0036170350554614594,0.4461842256079085,0.44980126066336995
2,0.5,28,0.4729001304590338,0.40745245602048746,-0.06544767443854632,-0.06509185782507632,0.0003558166134700058,0.5654476744385464,0.5650918578250763
2,0.5,29,0.44154645631876754,0.4415898140924829,4.335777371533567e-05,0.004548132416448358,0.004504774642733023,0.49995664222628466,0.49545186758355164
2,0.5,30,0.4178428326718709,0.4573526505878632,0.039509817915992285,0.041352714865664775,0.00184289694967249,0.4604901820840077,0.4586472851343352
2,0.5,31,0.5243668277965134,0.3583954803896027,-0.16597134740691072,-0.16371238949598044,0.0022589579109302815,0.6659713474069107,0.6637123894959804
2,0.5,32,0.41791086141364375,0.46009429366407234,0.04218343225042859,0.045498163824335414,0.003314731573906826,0.4578165677495714,0.4545018361756646
2,0.5,33,0.3096439811302144,0.5675897235937256,0.2579457424635112,0.25896338561542576,0.001017643151914549,0.2420542575364888,0.24103661438457424
2,0.5,34,0.5309077279959515,0.352080081616936,-0.17882764637901555,-0.1777967095759631,0.0010309368030524402,0.6788276463790155,0.6777967095759632
2,0.5,35,0.4322745736672604,0.44253306069586507,0.010258487028604657,0.007325958529457111,0.0029325284991475464,0.48974151297139534,0.4926740414705429
2,0.5,36,0.49265073580793906,0.3884597884119336,-0.10419094739600543,-0.10577067407074603,0.0015797266747406002,0.6041909473960054,0.605770674070746
2,0.5,37,0.3212557195379841,0.5621054506348104,0.24084973109682634,0.2405864673496082,0.0002632637472181343,0.25915026890317366,0.2594135326503918
2,0.5,38,0.45647842323863563,0.4158091483137617,-0.04066927492487393,-0.04298730683496871,0.0023180319100947755,0.5406692749248739,0.5429873068349687
2,0.5,39,0.5201244464878401,0.35963582297105323,-0.16048862351678683,-0.16172927604470005,0.001240652527913222,0.6604886235167868,0.6617292760447
2,0.5,40,0.4139967711183228,0.46605342690392726,0.05205665578560448,0.053025505309860665,0.0009688495242561879,0.4479433442143955,0.44697449469013933
2,0.5,41,0.5249024975208869,0.3508762960473959,-0.17402620147349102,-0.1741637952723073,0.0001375937988162823,0.674026201473491,0.6741637952723073
2,0.5,42,0.39345528229302784,0.47942185243132246,0.08596657013829462,0.08759857435460872,0.001632004216314098,0.4140334298617054,0.4124014256453913
2,0.5,43,0.4793217728444198,0.4006074507141828,-0.07871432213023699,-0.08044755771720635,0.0017332355869693616,0.578714322130237,0.5804475577172064
2,0.5,44,0.47359454523840405,0.4073433044900493,-0.06625124074835476,-0.06196164246991803,0.004289598278436724,0.5662512407483548,0.5619616424699181
2,0.5,45,0.42024873383876526,0.4498248013945983,0.02957606755583303,0.031155909408558558,0.0015798418527255276,0.47042393244416697,0.46884409059144144
2,0.5,46,0.4633659449467076,0.4134361093772172,-0.04992983556949038,-0.053890393372294565,0.003960557802804188,0.5499298355694904,0.5538903933722945
2,0.5,47,0.4187083262041034,0.4588514682839935,0.04014314207989006,0.037544707017627466,0.002598435062262594,0.45985685792010994,0.46245529298237253
2,0.5,48,0.4591538535780248,0.41511646048010775,-0.044037393097917044,-0.049351715911885696,0.005314322813968653,0.544037393097917,0.5493517159118857
2,0.5,49,0.3777460346054311,0.4954109246842202,0.11766489007878911,0.12320036851053573,0.005535478431746621,0.3823351099212109,0.37679963148946427
2,0.8,0,1.004223666334385,2.822933839743467e-20,-1.004223666334385,-1.0,0.00422366633438509,1.504223666334385,1.5
2,0.8,1,1.0038547229784862,3.787264787804598e-20,-1.0038547229784862,-1.0,0.0038547229784862136,1.5038547229784862,1.5
2,0.8,2,0.9969940708802205,3.4235910510383256e-20,-0.9969940708802205,-1.0,0.0030059291197794824,1.4969940708802205,1.5
2,0.8,3,0.9999773230841651,3.036042352774603e-20,-0.9999773230841651,-1.0,2.2676915834907163e-05,1.499977323084165,1.5
2,0.8,4,0.9925910850933672,3.8487707930490654e-20,-0.9925910850933672,-1.0,0.0074089149066327575,1.4925910850933672,1.5
2,0.8,5,1.0070691462484305,3.1137968939562566e-20,-1.0070691462484305,-1.0,0.007069146248430469,1.5070691462484305,1.5
2,0.8,6,1.0061887111910246,3.554227164491637e-20,-1.0061887111910246,-1.0,0.0061887111910245984,1.5061887111910246,1.5
2,0.8,7,0.9879440190113385,3.9710311258752797e-20,-0.9879440190113385,-1.0,0.012055980988661452,1.4879440190113384,1.5
2,0.8,8,1.0033880138733062,3.5402585554224765e-20,-1.0033880138733062,-1.0,0.003388013873306228,1.5033880138733062,1.5
2,0.8,9,1.011055198618953,3.640657074088155e-20,-1.011055198618953,-1.0,0.0110551986189531,1.511055198618953,1.5
2,0.8,10,0.9889596670925254,2.954039409338454e-20,-0.9889596670925254,-1.0,0.011040332907474637,1.4889596670925254,1.5
2,0.8,11,0.9988562686773543,3.3770008695813073e-20,-0.9988562686773543,-1.0,0.0011437313226456691,1.4988562686773543,1.5
2,0.8,12,1.0017222605156948,2.9450771730911904e-20,-1.0017222605156948,-1.0,0.0017222605156947957,1.5017222605156948,1.5
2,0.8,13,0.9897803843136344,3.121250491718439e-20,-0.9897803843136344,-1.0,0.010219615686365646,1.4897803843136344,1.5
2,0.8,14,1.0006627633398795,3.2478204194137465e-20,-1.0006627633398795,-1.0,0.0006627633398794686,1.5006627633398795,1.5
2,0.8,15,1.0093369834149328,2.986989283884141e-20,-1.0093369834149328,-1.0,0.009336983414932831,1.5093369834149328,1.5
2,0.8,16,1.0045713501302256,2.325866647057255e-20,-1.0045713501302256,-1.0,0.004571350130225582,1.5045713501302256,1.5
2,0.8,17,1.007768126018405,3.2176011188741256e-20,-1.007768126018405,-1.0,0.007768126018405042,1.507768126018405,1.5
2,0.8,18,1.0018819308407312,2.723243066249724e-20,-1.0018819308407312,-1.0,0.001881930840731183,1.5018819308407312,1.5
2,0.8,19,1.0028083078748666,2.68651614444312e-20,-1.0028083078748666,-1.0,0.0028083078748666335,1.5028083078748666,1.5
2,0.8,20,0.99413765854457,3.338160261855551e-20,-0.99413765854457,-1.0,0.005862341455429965,1.49413765854457,1.5
2,0.8,21,0.9945598387785877,3.9897639975596606e-20,-0.9945598387785877,-1.0,0.005440161221412332,1.4945598387785877,1.5
2,0.8,22,0.9969463418030685,2.746732078036193e-20,-0.9969463418030685,-1.0,0.0030536581969314858,1.4969463418030684,1.5
2,0.8,23,1.0022204842816964,3.4149367384871586e-20,-1.0022204842816964,-1.0,0.002220484281696411,1.5022204842816964,1.5
2,0.8,24,0.9838782107956279,3.082914949827492e-20,-0.9838782107956279,-1.0,0.016121789204372128,1.4838782107956279,1.5
2,0.8,25,0.9931871920649326,3.2191774949924076e-20,-0.9931871920649326,-1.0,0.006812807935067444,1.4931871920649327,1.5
2,0.8,26,0.9854861089410023,3.4114379792171676e-20,-0.9854861089410023,-1.0,0.014513891058997697,1.4854861089410023,1.5
2,0.8,27,1.004061011289744,3.822143401323831e-20,-1.004061011289744,-1.0,0.004061011289743899,1.504061011289744,1.5
2,0.8,28,1.0024473606677513,3.167824056455911e-20,-1.0024473606677513,-1.0,0.0024473606677513082,1.5024473606677513,1.5
2,0.8,29,1.0019725217664481,3.6306456482584454e-20,-1.0019725217664481,-1.0,0.001972521766448132,1.5019725217664481,1.5
2,0.8,30,1.0036192343807648,2.668059413703002e-20,-1.0036192343807648,-1.0,0.0036192343807648353,1.5036192343807648,1.5
2,0.8,31,0.9870331933999281,3.0013509699933763e-20,-0.9870331933999281,-1.0,0.012966806600071878,1.4870331933999281,1.5
2,0.8,32,0.9869693934041055,2.6541916123838232e-20,-0.9869693934041055,-1.0,0.0130306065958945,1.4869693934041055,1.5
2,0.8,33,1.004605297760029,3.836234172282141e-20,-1.004605297760029,-1.0,0.004605297760029048,1.504605297760029,1.5
2,0.8,34,0.9988234905643241,2.871675613926753e-20,-0.9988234905643241,-1.0,0.001176509435675932,1.498823490564324,1.5
2,0.8,35,1.0007909756384519,3.005951293435496e-20,-1.0007909756384519,-1.0,0.000790975638451874,1.5007909756384519,1.5
2,0.8,36,1.0091740875322914,3.914340798946377e-20,-1.0091740875322914,-1.0,0.00917408753229143,1.5091740875322914,1.5
2,0.8,37,1.0044699316556995,2.89283594792569e-20,-1.0044699316556995,-1.0,0.004469931655699533,1.5044699316556995,1.5
2,0.8,38,1.007577146380435,2.6783024755272978e-20,-1.007577146380435,-1.0,0.007577146380435051,1.507577146380435,1.5
2,0.8,39,1.0031457634966667,2.4175595534515368e-20,-1.0031457634966667,-1.0,0.0031457634966667314,1.5031457634966667,1.5
2,0.8,40,0.995976916745586,2.718846495677193e-20,-0.995976916745586,-1.0,0.004023083254414028,1.4959769167455859,1.5
2,0.8,41,0.993789157966962,3.8409656276922024e-20,-0.993789157966962,-1.0,0.006210842033038011,1.493789157966962,1.5
2,0.8,42,0.987608731915864,2.809902550030073e-20,-0.987608731915864,-1.0,0.012391268084136042,1.487608731915864,1.5
2,0.8,43,0.9961138519710558,3.477275969412857e-20,-0.9961138519710558,-1.0,0.0038861480289441586,1.4961138519710557,1.5
2,0.8,44,0.9961740183581409,4.2756909334828404e-20,-0.9961740183581409,-1.0,0.0038259816418590997,1.496174018358141,1.5
2,0.8,45,0.9972904955698411,3.257271595224038e-20,-0.9972904955698411,-1.0,0.0027095044301589377,1.4972904955698412,1.5
2,0.8,46,0.9997682900866787,2.999195848774083e-20,-0.9997682900866787,-1.0,0.00023170991332133184,1.4997682900866787,1.5
2,0.8,47,0.9950611064536644,2.8659824121404775e-20,-0.9950611064536644,-1.0,0.004938893546335588,1.4950611064536643,1.5
2,0.8,48,1.0030457011037122,3.2026795351361136e-20,-1.0030457011037122,-1.0,0.0030457011037121617,1.5030457011037122,1.5
2,0.8,49,0.9989367607829305,2.9433799339126745e-20,-0.9989367607829305,-1.0,0.0010632392170695226,1.4989367607829305,1.5
3,0.2,0,3.469863824105007e-32,6.891699517163792e-20,6.891699517160321e-20,6.887449152069279e-20,4.2503650910420533e-23,0.5,0.5
3,0.2,1,6.653640593511275e-32,6.110873502693283e-20,6.110873502686629e-20,6.056064623870787e-20,5.4808878815842e-22,0.5,0.5
3,0.2,2,5.266246947373337e-32,5.753553669094439e-20,5.753553669089173e-20,5.807033698278808e-20,5.34800291896352e-22,0.5,0.5
3,0.2,3,6.507519034652485e-32,6.71534852559209e-20,6.715348525585582e-20,6.777789086816336e-20,6.244056123075365e-22,0.5,0.5
