p,dataset_index,best_initialization,g12,g13,g23,D,deployed_gap,empirical_loss,gradient_norm,v1_1,v1_2,v1_3,v2_1,v2_2,v2_3,v3_1,v3_2,v3_3
0.2,21,6,5.812591147356191e-20,0.0,1.3906419330379444e-35,5.81259114735619e-20,0.5,1.1728129857241453e-20,9.711803982310133e-11,0.99821946609432,0.04708153445736341,-0.036622761003384796,0.054352938090227336,-0.4650678795774437,0.8836049035096514,0.02456940490716926,-0.8840221696812374,-0.46679883017696727
0.2,22,5,7.343477975362826e-20,0.0,8.708554030073687e-33,7.343477975361956e-20,0.5,1.3426296197431724e-20,9.730155355149366e-11,-0.9819388646480749,0.11902289314024987,-0.1470701091390577,0.18914408253781861,0.5989108540687591,-0.778158277549983,-0.004536764842573897,-0.7919212964357759,-0.6106063199936955
0.2,23,0,6.667270971614728e-20,3.0814879110195774e-33,1.4028265768756212e-35,6.667270971614727e-20,0.5,1.2741276338587271e-20,9.660573260831542e-11,-0.485912883444339,0.8665245507262643,-0.1141221831698552,0.09386498553241647,0.18155668174209058,0.9788904615971088,-0.8689522623351421,-0.46494340969864484,0.1695570451512899
0.2,24,2,6.679537766057055e-20,0.0,9.351473187727896e-34,6.679537766056961e-20,0.5,1.2696765632502076e-20,9.753245363053633e-11,-0.9926571176300637,0.0711187203116152,-0.09784668844479243,-0.10359072221755987,-0.0821485735092423,0.9912217583068085,-0.062456457117466384,-0.9940793426556327,-0.0889126057973747
0.2,25,0,7.126463847687533e-20,0.0,1.604520541991544e-33,7.126463847687373e-20,0.5,1.3375952002728815e-20,9.626922625060343e-11,-0.8292058683158532,-0.4860586946077742,0.2759792987648502,-0.2543274840417171,-0.11157608799761248,-0.9606603496804472,-0.4977300060516324,0.8667743201158482,0.031098537964850216
0.2,26,1,5.1578301687507925e-20,1.925929944387236e-34,2.3629113155206994e-33,5.157830168750556e-20,0.5,1.1017691711721318e-20,9.59905125158379e-11,0.14557115263062426,0.989329998422051,0.005932431543323884,0.8176941101092206,-0.11693656814261916,-0.5636507618408021,0.5569428891371312,-0.08690220541389711,0.825991903673266
0.2,27,2,5.85684482696956e-20,1.925929944387236e-34,6.175878485976713e-38,5.85684482696956e-20,0.5,1.1942344816021528e-20,9.644445148212202e-11,-0.039149282833444266,-0.9772136037204209,-0.20861664928134444,-0.7087506198955176,0.17432572920352027,-0.6835810843896872,0.7043719844215247,0.12109547028631422,-0.6994254746849159
0.2,28,3,5.726710359934895e-20,5.4354858782022574e-33,8.816176061509744e-34,5.726710359934807e-20,0.5,1.1753093463872348e-20,9.712043747288472e-11,-0.9650386846235625,0.02095627997667172,0.2612683898016825,0.0187288350991527,-0.9887373679720785,0.14848450394393256,-0.26143750290366474,-0.14818654296225167,-0.9537773223139631
0.2,29,6,6.470179392017568e-20,7.703719777548943e-34,1.2102047330842087e-32,6.470179392016358e-20,0.5,1.2651862727891558e-20,9.62131338717483e-11,0.967182345205273,0.17516554112780217,-0.18405255859300756,-0.04487058061130794,-0.5952423395428982,-0.8022924580295526,0.2500898681292592,-0.7842216462645908,0.5678481023910751
0.2,30,3,5.963373767610332e-20,9.949384185359841e-35,8.544398940812987e-35,5.963373767610323e-20,0.5,1.1860696029552248e-20,9.654742365326417e-11,-0.9939087049195832,-0.011874201691743913,-0.10956500179920975,0.02001077857713812,0.9582077554662728,-0.28537250411527815,-0.10837460512282174,0.2858266969756822,0.9521334172585499
0.2,31,3,5.178109605528934e-20,1.925929944387236e-34,1.5829580380790707e-32,5.178109605527351e-20,0.5,1.1162633926521603e-20,9.759096100567166e-11,-0.9947148510383406,0.09996465035817598,-0.02344000432038638,0.06635625262290427,0.8000879586679964,0.596201397291489,-0.07835312943116662,-0.5914949932474883,0.8024926542165335
0.2,32,7,6.122068126580013e-20,1.692711865184094e-36,1.1213659816371466e-33,6.122068126579901e-20,0.5,1.1983551228570502e-20,9.675960025449388e-11,-0.04548507016493886,0.998912871574325,-0.010207026757433867,0.9855942018213052,0.046540057791696066,0.16259794696419128,-0.16289621772926247,0.0026642073636204875,0.9866396121424603
0.2,33,4,5.507802984031768e-20,3.0814879110195774e-33,2.8362539990756312e-34,5.50780298403174e-20,0.5,1.1716413151101965e-20,9.716631806164202e-11,-0.6570194169574359,-0.7537457294798171,-0.01388744151560441,0.16432335640070378,-0.1611660428681355,0.9731512426994243,0.7357467773173008,-0.6370972310881173,-0.22974724765937993
0.2,34,6,6.47445090365148e-20,0.0,1.1148113146349385e-34,6.474450903651469e-20,0.5,1.2514568505377342e-20,9.818592204000522e-11,0.19314930525479282,-0.9809651105865139,0.02001993235702063,-0.05212329043002943,-0.030634002065987515,-0.9981706870631735,0.9797839090683284,0.1917524699833166,-0.057048065577046184
0.2,35,0,5.482184459670271e-20,1.4564845204428471e-33,9.182320684332278e-35,5.482184459670261e-20,0.5,1.1469770016152715e-20,9.58627483572173e-11,-0.13678783011682166,-0.19336289176242444,0.971545100147803,-0.09988564744685959,0.978457600303905,0.1806753492916099,0.9855515952868482,0.0723292223668892,0.15315526964277032
0.2,36,7,5.355302988790368e-20,0.0,3.116868819868847e-34,5.3553029887903365e-20,0.5,1.1317909110003976e-20,9.607880874162769e-11,-0.12716769161525357,-0.42228763878820463,-0.8974973695426247,-0.9822531328151091,0.1793840311940631,0.05477364719891578,-0.13786646199117544,-0.8885350412021972,0.43760520930839675
0.2,37,0,6.685393014600508e-20,1.2037062152420224e-33,2.8810590601236864e-32,6.685393014597628e-20,0.5,1.2686220218524078e-20,9.726903789805129e-11,-0.9912336311615282,0.0736448034203628,0.10969198413515822,-0.03190090845454884,0.6722686434824618,-0.739619634021451,-0.12821162392879298,-0.736635129453537,-0.664025952463089
