N,p,dataset_index,empirical_g12,empirical_g13,empirical_g23,population_max_gram_error
256,0.3819660112501051,14,1.0,0.0,0.0,0.0
256,0.3819660112501051,15,1.0,0.0,0.0,0.0
256,0.3819660112501051,16,1.0,0.0,0.0,0.0
256,0.3819660112501051,17,0.5001165893838087,0.1077905568948272,0.18979284488619752,0.49988341061619135
256,0.3819660112501051,18,0.5256832423741966,0.06250400067170914,0.23577824060063696,0.4743167576258034
256,0.3819660112501051,19,1.0,0.0,0.0,0.0
256,0.3819660112501051,20,1.0,0.0,0.0,0.0
256,0.3819660112501051,21,0.6301445283576003,0.06398632082713185,0.15021745657526298,0.36985547164239974
256,0.3819660112501051,22,0.6027508426224955,0.037791111699133795,0.21839455025036214,0.39724915737750455
256,0.3819660112501051,23,1.0,0.0,0.0,0.0
256,0.3819660112501051,24,0.6864659368427628,0.07186069850749943,0.10070708816791685,0.3135340631572372
256,0.3819660112501051,25,0.9427482354854678,0.008078626109562337,0.022811456241216332,0.05725176451453218
256,0.3819660112501051,26,0.6788335815094065,0.06257472293755717,0.11737238491030799,0.32116641849059346
256,0.3819660112501051,27,0.5062228340204455,0.04550724876615775,0.2859458109288665,0.49377716597955446
256,0.3819660112501051,28,1.0,0.0,0.0,0.0
256,0.3819660112501051,29,1.0,0.0,0.0,0.0
256,0.3819660112501051,30,1.0,0.0,0.0,0.0
256,0.3819660112501051,31,1.0,0.0,0.0,0.0
256,0.3819660112501051,32,1.0,0.0,0.0,0.0
256,0.3819660112501051,33,1.0,0.0,0.0,0.0
256,0.3819660112501051,34,0.6349266014675992,0.029753668012677703,0.20949882433833678,0.36507339853240084
256,0.3819660112501051,35,1.0,0.0,0.0,0.0
256,0.3819660112501051,36,1.0,0.0,0.0,0.0
256,0.3819660112501051,37,1.0,0.0,0.0,0.0
256,0.3819660112501051,38,1.0,0.0,0.0,0.0
256,0.3819660112501051,39,1.0,0.0,0.0,0.0
256,0.3819660112501051,40,0.8195039472715349,0.029429295781863152,0.0693017407305645,0.18049605272846514
256,0.3819660112501051,41,1.0,0.0,0.0,0.0
256,0.3819660112501051,42,1.0,0.0,0.0,0.0
256,0.3819660112501051,43,0.8344798514060383,0.03578709832443644,0.05138590555765321,0.1655201485939617
256,0.3819660112501051,44,1.0,0.0,0.0,0.0
256,0.3819660112501051,45,1.0,0.0,0.0,0.0
256,0.3819660112501051,46,0.3120093355547232,0.038220824471690895,0.49595907374784076,0.6879906644452768
256,0.3819660112501051,47,0.9247308027978628,0.012011120907505557,0.027992535606637947,0.0752691972021372
256,0.3819660112501051,48,0.6381833106732203,0.049356850420087195,0.16728183329970253,0.3618166893267797
256,0.3819660112501051,49,0.48921575263723577,0.13569613333001518,0.1654715446904127,0.5107842473627642
256,0.3819660112501051,50,0.8446000562076786,0.01727467562125018,0.07289912940248999,0.15539994379232136
256,0.3819660112501051,51,1.0,0.0,0.0,0.0
256,0.3819660112501051,52,1.0,0.0,0.0,0.0
256,0.3819660112501051,53,0.8704581817341659,0.015201598873210487,0.058632290199757464,0.1295418182658341
256,0.3819660112501051,54,0.7757370282355316,0.034715245615570434,0.0907023074089423,0.2242629717644684
256,0.3819660112501051,55,1.0,0.0,0.0,0.0
256,0.3819660112501051,56,1.0,0.0,0.0,0.0
256,0.3819660112501051,57,0.5647262237496222,0.04513793591573545,0.2352572655677571,0.4352737762503778
256,0.3819660112501051,58,0.8665087199914896,0.019405690763622307,0.05388373539700625,0.1334912800085104
256,0.3819660112501051,59,0.2740340633615383,0.06123042247314414,0.4844221573270644,0.7259659366384617
256,0.3819660112501051,60,1.0,0.0,0.0,0.0
256,0.3819660112501051,61,0.8296464767678562,0.022082416359808565,0.07442140325758034,0.1703535232321438
256,0.3819660112501051,62,0.4017864425383807,0.06349051417586976,0.3466496228817305,0.5982135574616193
256,0.3819660112501051,63,1.0,0.0,0.0,0.0
256,0.3819660112501051,64,1.0,0.0,0.0,0.0
256,0.3819660112501051,65,1.0,0.0,0.0,0.0
256,0.3819660112501051,66,0.6129609677360528,0.055102057464135545,0.17720791877384523,0.3870390322639472
256,0.3819660112501051,67,1.0,0.0,0.0,0.0
256,0.3819660112501051,68,1.0,0.0,0.0,0.0
256,0.3819660112501051,69,1.0,0.0,0.0,0.0
256,0.3819660112501051,70,1.0,0.0,0.0,0.0
256,0.3819660112501051,71,0.9722407104930155,0.0031565849332458873,0.01230986372496351,0.027759289506984475
256,0.3819660112501051,72,0.4370955776226404,0.06700551143169287,0.30642961781879546,0.5629044223773596
256,0.3819660112501051,73,0.802399253315016,0.026011098489592543,0.08657406934213052,0.19760074668498395
256,0.3819660112501051,74,0.5645773753481591,0.033264786810669744,0.26189370453821603,0.4354226246518409
256,0.3819660112501051,75,1.0,0.0,0.0,0.0
256,0.3819660112501051,76,0.8880142984550269,0.01507998970191543,0.04682433150215576,0.11198570154497312
256,0.3819660112501051,77,1.0,0.0,0.0,0.0
256,0.3819660112501051,78,1.0,0.0,0.0,0.0
256,0.3819660112501051,79,1.0,0.0,0.0,0.0
256,0.3819660112501051,80,1.0,0.0,0.0,0.0
256,0.3819660112501051,81,1.0,0.0,0.0,0.0
256,0.3819660112501051,82,1.0,0.0,0.0,0.0
256,0.3819660112501051,83,0.39528299439910597,0.0661300889445019,0.3478690052131055,0.604717005600894
256,0.3819660112501051,84,1.0,0.0,0.0,0.0
256,0.3819660112501051,85,1.0,0.0,0.0,0.0
256,0.3819660112501051,86,0.710115230174372,0.03633266821012854,0.13536004290281145,0.28988476982562805
256,0.3819660112501051,87,0.5158131803918149,0.11553814289552766,0.168330513669804,0.4841868196081851
256,0.3819660112501051,88,1.0,0.0,0.0,0.0
256,0.3819660112501051,89,1.0,0.0,0.0,0.0
256,0.3819660112501051,90,1.0,0.0,0.0,0.0
256,0.3819660112501051,91,0.08292111100430738,0.020323944989531606,0.8223019417403276,0.9170788889956927
256,0.3819660112501051,92,1.0,0.0,0.0,0.0
256,0.3819660112501051,93,1.0,0.0,0.0,0.0
256,0.3819660112501051,94,1.0,0.0,0.0,0.0
256,0.3819660112501051,95,1.0,0.0,0.0,0.0
256,0.3819660112501051,96,1.0,0.0,0.0,0.0
256,0.3819660112501051,97,1.0,0.0,0.0,0.0
256,0.3819660112501051,98,0.6157618154838219,0.06720006520385713,0.15623110900397685,0.3842381845161781
256,0.3819660112501051,99,0.713262356460915,0.05776786010140855,0.10035925869821288,0.28673764353908504
256,0.5,0,0.6220482756601581,0.03980828176833218,0.19807421612034715,0.24704827566015808
256,0.5,1,0.39347113750370905,0.07363855272927416,0.3356546657441211,0.03934533425587888
256,0.5,2,0.5076269437022985,0.051939376140633486,0.2712864934671988,0.13262694370229855
256,0.5,3,0.3820778514158799,0.06327289287052018,0.3664140573234248,0.008585942676575198
256,0.5,4,0.806578661147167,0.028345360129485797,0.07970155994090872,0.43157866114716703
256,0.5,5,0.16000812541042042,0.051526697618429596,0.6428604353942085,0.26786043539420845
256,0.5,6,0.18450678655727398,0.04997912618829703,0.6149101491664192,0.23991014916641917
256,0.5,7,0.5542569394092304,0.05111032429836554,0.23236692125278136,0.17925693940923038
256,0.5,8,0.17183225891130333,0.05638031566221846,0.6171415028599004,0.24214150285990044
256,0.5,9,0.04122577892579149,0.029963492652615054,0.8634916977426917,0.48849169774269174
256,0.5,10,0.5521024483172995,0.0485784289539834,0.23914503773208912,0.1771024483172995
256,0.5,11,0.4881495642300415,0.08275354497059262,0.23445715781330678,0.14054284218669322
256,0.5,12,0.03790513011452534,0.004800358173982999,0.9312598905681042,0.5562598905681042
256,0.5,13,0.3759811803253522,0.04638345989829007,0.40877207616409017,0.03377207616409017
256,0.5,14,0.1374598911112243,0.030689715168647214,0.7215097473658263,0.3465097473658263
256,0.5,15,0.47197716902875364,0.0777914938946459,0.25624075386986206,0.11875924613013794
256,0.5,16,0.5308138914292525,0.06968653242658618,0.21934672487386964,0.1558138914292525
256,0.5,17,0.1442546674048641,0.03736152282112626,0.6958994947439213,0.3208994947439213
256,0.5,18,0.14552500766248044,0.02823508065819491,0.7176360074481661,0.34263600744816614
256,0.5,19,0.9383332033357014,0.01382952518813707,0.017606520306241935,0.5633332033357014
256,0.5,20,0.4053155353093339,0.0732166398877726,0.3250410715415244,0.049958928458475604
256,0.5,21,0.1314641983452149,0.06168136594838669,0.660487482858392,0.285487482858392
256,0.5,22,0.29217234107790474,0.07347529937688896,0.43997919755178394,0.08282765892209526
256,0.5,23,0.43528752513537583,0.10250979480090311,0.250678735796086,0.12432126420391398
256,0.5,24,0.18752773656976895,0.04101659451758349,0.6320101456562072,0.25701014565620717
256,0.5,25,1.0,0.0,0.0,0.625
256,0.5,26,0.6586244825460537,0.044476189046233516,0.1599842389605987,0.28362448254605366
256,0.5,27,0.47091556337580065,0.048621130635209675,0.31154569772881885,0.09591556337580065
256,0.5,28,0.8690042229453574,0.020484984334378953,0.050528162135934584,0.4940042229453574
256,0.5,29,0.5873692380981657,0.049722414187359565,0.20729258603926026,0.21236923809816566
256,0.5,30,0.7343294713359755,0.036807136346410585,0.11659082084032651,0.3593294713359755
256,0.5,31,0.7353072972461834,0.04065351249730165,0.10957507436868175,0.3603072972461834
256,0.5,32,0.3151827134372733,0.05612562715816721,0.4502080217616844,0.0752080217616844
256,0.5,33,0.2427965953950349,0.07716284340091961,0.4886743806585905,0.1322034046049651
