p,p_index,dataset_index,A,B,C,empirical_optimum,empirical_g12,empirical_g13,empirical_g23,theory_optimum,theory_g12,theory_g13,theory_g23,theory_D,best_initialization,alpha,beta,g12,g13,g23,D,deployed_gap,optimization_error,gram_error_to_empirical,gram_error_to_population,gradient_norm
0.0,0,22,0.0,0.9843776661010967,0.9186141360245619,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267969112,1.5707963268450151,1.0,4.0584095596027044e-24,2.5118655181105912e-21,1.0,-0.5,2.3114301804594134e-21,2.5118655181105912e-21,2.5118655181105912e-21,9.207915220350764e-11
0.0,0,23,0.0,0.9774173055087815,1.0382485345765988,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,1.5707963267974814,1.5707963267479523,1.0,6.680984327865832e-24,2.2037661304205728e-21,1.0,-0.5,2.2945870651585906e-21,2.2037661304205728e-21,2.2037661304205728e-21,9.747967544124858e-11
0.0,0,24,0.0,1.0090919606378241,1.0099207681761484,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,1.5707963268403455,1.5707963267940697,1.0,2.0656040275796626e-21,6.838551361420192e-25,1.0,-0.5,2.0850750575961617e-21,2.0656040275796626e-21,2.0656040275796626e-21,9.172427288728174e-11
0.0,0,25,0.0,1.0350644710121548,0.9743444680351168,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1.5707963268392602,1.5707963267968228,1.0,1.968125691289867e-21,3.710152886537719e-24,1.0,-0.5,2.04075194448094e-21,1.968125691289867e-21,1.968125691289867e-21,9.18382950198256e-11
0.0,0,26,0.0,0.9877617986524516,1.0041809992272073,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.570796326842131,1.5707963267988074,1.0,2.2310864036740596e-21,1.529443793941889e-23,1.0,-0.5,2.2191403030147432e-21,2.2310864036740596e-21,2.2310864036740596e-21,9.331262705959563e-11
0.0,0,27,0.0,1.0007775364178249,0.9810813391579882,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1.5707963267494567,1.5707963267999827,1.0,2.064787721705218e-21,2.5868336797230667e-23,1.0,-0.5,2.0917721118607383e-21,2.064787721705218e-21,2.064787721705218e-21,9.095053304509301e-11
0.0,0,28,0.0,0.9767237382040976,1.007925833852407,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1.5707963267963438,1.5707963268398966,1.0,2.0944616552640876e-24,2.0249948241912133e-21,1.0,-0.5,2.0430903071371917e-21,2.0249948241912133e-21,2.0249948241912133e-21,9.071320911705618e-11
0.0,0,29,0.0,1.0157671476029293,1.0244371213312373,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.57079632674979,1.570796326794412,1.0,2.0346095463892458e-21,2.348008748312875e-25,1.0,-0.5,2.0669300741537924e-21,2.0346095463892458e-21,2.0346095463892458e-21,9.16356990342937e-11
0.0,0,30,0.0,1.0353592929897566,0.966472127970363,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267507332,1.5707963267935374,1.0,1.950405977667314e-21,1.8474144707135778e-24,1.0,-0.5,2.0211564286753788e-21,1.950405977667314e-21,1.950405977667314e-21,9.144997503118229e-11
0.0,0,31,0.0,1.0101220631308225,0.9953532925779739,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,1.5707963268051481,1.5707963267495793,1.0,1.0509358301375576e-22,2.0536637242682974e-21,1.0,-0.5,2.1502782966940596e-21,2.0536637242682974e-21,2.0536637242682974e-21,9.021358030384221e-11
0.0,0,32,0.0,0.9890580377148653,0.9589928099304644,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6,1.5707963267458729,1.5707963267868725,1.0,2.4033266170289976e-21,6.438597411762776e-23,1.0,-0.5,2.43877519406578e-21,2.4033266170289976e-21,2.4033266170289976e-21,9.697463875882838e-11
0.0,0,33,0.0,1.0211982430636608,0.9924467959746246,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963268392406,1.570796326789695,1.0,1.966392351703881e-21,2.7057455548241305e-23,1.0,-0.5,2.034929499799901e-21,1.966392351703881e-21,1.966392351703881e-21,9.056807620047486e-11
0.0,0,34,0.0,1.016492461537939,0.972407380621171,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,1.5707963267929161,1.5707963267456548,1.0,3.922289399708336e-24,2.424753197307017e-21,1.0,-0.5,2.3618348828528997e-21,2.424753197307017e-21,2.424753197307017e-21,9.576614653296854e-11
0.0,0,35,0.0,1.0143086224145472,1.017130564375889,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1.5707963267883396,1.5707963267502336,1.0,4.299475278596396e-23,1.9947836802448564e-21,1.0,-0.5,2.0725653989646487e-21,1.9947836802448564e-21,1.9947836802448564e-21,9.085620732686972e-11
0.0,0,36,0.0,1.0429002273527928,0.9783436455009755,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,5,1.5707963267957907,1.5707963267478053,1.0,7.994369689792336e-25,2.2175887504441636e-21,1.0,-0.5,2.1703975953281987e-21,2.2175887504441636e-21,2.2175887504441636e-21,9.214291113744068e-11
0.0,0,37,0.0,1.0004290520155068,1.0071194880330354,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267836027,1.570796326839553,1.0,1.2755253799709412e-22,1.9941975876701786e-21,1.0,-0.5,2.1360025182017094e-21,1.9941975876701786e-21,1.9941975876701786e-21,8.9948740947369e-11
0.0,0,38,0.0,0.993581895612264,0.9747019300208354,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.570796326748654,1.5707963267945024,1.0,2.138380511613131e-21,1.5538607624700373e-25,1.0,-0.5,2.1248076173773136e-21,2.138380511613131e-21,2.138380511613131e-21,9.189167312072208e-11
0.0,0,39,0.0,1.0445082277387616,0.9997056663018045,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267500051,1.5707963267992906,1.0,2.015245438420354e-21,1.9307055446756947e-23,1.0,-0.5,2.1242418140727937e-21,2.015245438420354e-21,2.015245438420354e-21,9.37790511763239e-11
0.0,0,40,0.0,1.000675907602014,1.0267534997437928,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6,1.5707963268403435,1.5707963267884903,1.0,2.0654223812117895e-21,4.104029696612813e-23,1.0,-0.5,2.1089566844411172e-21,2.0654223812117895e-21,2.0654223812117895e-21,9.09552723964897e-11
0.0,0,41,0.0,1.0007714770189917,1.007302066780113,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,3,1.570796326796553,1.5707963268412617,1.0,2.7436328688555954e-24,2.1497199685215253e-21,1.0,-0.5,2.168163116808774e-21,2.1497199685215253e-21,2.1497199685215253e-21,9.340726715867414e-11
0.0,0,42,0.0,1.0772685219965243,0.9759687996387116,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,4,1.5707963267947587,1.5707963268425404,1.0,1.9030459639227685e-26,2.269934308551858e-21,1.0,-0.5,2.2154055632912144e-21,2.269934308551858e-21,2.269934308551858e-21,9.299777846948218e-11
0.0,0,43,0.0,0.9948935039204211,0.9855571193935793,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,6,1.5707963267946223,1.570796326749078,1.0,7.523298502227096e-26,2.09933690047911e-21,1.0,-0.5,2.0690912770809164e-21,2.09933690047911e-21,2.09933690047911e-21,9.031353987141838e-11
0.0,0,44,0.0,1.0026683050347436,0.9999476299404142,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,2,1.570796326749389,1.570796326796508,1.0,2.0709470206079844e-21,2.5963407523168823e-24,1.0,-0.5,2.0790691437515568e-21,2.0709470206079844e-21,2.0709470206079844e-21,9.125817447587523e-11
0.0,0,45,0.0,1.0374018968591328,0.9927469792721261,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1,1.5707963267951086,1.5707963268409963,1.0,4.4940338988658697e-26,2.125185052520726e-21,1.0,-0.5,2.109817662477138e-21,2.125185052520726e-21,2.125185052520726e-21,9.153073425228758e-11
0.0,0,46,0.0,0.9782707353667386,1.002920558473409,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.5707963267470721,1.5707963267955263,1.0,2.2871801536719225e-21,3.9646827417231697e-25,1.0,-0.5,2.2378790370317917e-21,2.2871801536719225e-21,2.2871801536719225e-21,9.357056343018362e-11
0.0,0,47,0.0,0.9781689950590404,1.0048196552879705,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0,1.5707963268422296,1.5707963267938934,1.0,2.240409590357253e-21,1.0065281342822325e-24,1.0,-0.5,2.192510576773318e-21,2.240409590357253e-21,2.240409590357253e-21,9.259927791751324e-11
